id,mean_NNMF1,mean_NNMF2,mean_NNMF3,mean_NNMF4,mean_NNMF5,mean_NNMF6,mean_NNMF7,mean_NNMF8,mean_NNMF9,mean_NNMF10,mean_NNMF11,mean_NNMF12,mean_NNMF13,mean_NNMF14,mean_NNMF15
2504,-0.059786,0.029186,0.107595,-0.008997,-0.083185,0.016351,0.108615,0.012826,-0.164397,-0.034779,-0.086103,-0.00578,-0.190358,0.00433,-0.069621
2516,-0.106284,0.311617,0.111175,-0.170321,-0.153065,-0.036745,-0.109117,-0.128758,-0.20395,-0.071839,-0.065164,-0.126844,-0.161016,-0.151104,-0.046763
2527,-0.156385,-0.081596,0.108966,-0.254164,-0.286969,-0.100379,-0.236357,-0.231333,-0.36691,-0.316948,-0.221098,-0.24772,-0.242377,-0.122794,-0.165916
2548,-0.102232,0.054524,0.099825,-0.167285,-0.176488,0.025094,-0.066702,-0.108958,-0.093354,-0.084677,0.031305,-0.082826,-0.174423,-0.117166,-0.142063
2555,-0.045467,0.105262,-0.020601,-0.051058,-0.150043,-0.04166,0.061927,-0.02461,-0.111567,-0.166069,-0.042072,0.077773,-0.112061,-0.050404,-0.15017
2571,-0.122839,0.051746,0.075432,0.015308,-0.080781,-0.236178,-0.227242,-0.128974,-0.108979,-0.192796,-0.123506,-0.119334,-0.098768,-0.081667,-0.108553
2624,-0.062229,0.159931,-0.078906,-0.048336,-0.059834,0.01744,0.058153,-0.061294,-0.179251,-0.085289,-0.132735,-0.057335,-0.228655,-0.06555,-0.07043
2638,-0.10753,0.140708,0.014264,-0.131119,-0.118894,-0.193686,-0.091445,-0.053371,-0.141313,-0.163937,-0.032355,-0.138876,-0.139084,-0.022427,-0.133381
2649,-0.07561,0.121438,-0.063036,-0.088974,-0.182797,-0.0731,-0.217785,-0.108012,-0.099471,-0.167311,-0.125092,-0.023628,-0.116467,-0.079876,-0.112259
2663,-0.12023,0.069961,-0.081872,-0.124764,-0.268035,-0.066325,-0.099321,-0.029746,-0.221987,-0.26846,-0.286394,-0.162694,-0.240438,-0.083223,-0.090974
2675,-0.104622,0.079734,0.027115,-0.103002,-0.141936,-0.04632,-0.215756,-0.130094,-0.122639,-0.180148,-0.169947,-0.103689,-0.242841,-0.115858,-0.056526
2682,-0.091607,0.136342,0.002685,-0.015171,-0.045852,-0.027189,-0.166398,-0.04668,-0.046297,-0.150494,0.003019,-0.12912,-0.174481,-0.014067,-0.128587
2696,-0.129002,0.131344,0.018975,-0.199262,-0.210244,-0.16864,-0.196342,-0.190823,-0.164074,-0.221428,-0.053246,-0.142216,-0.209793,-0.112983,-0.148369
2709,-0.062406,0.018438,0.052957,-0.216331,0.038776,-0.069023,-0.081691,-0.049839,-0.121373,-0.152958,-0.113095,-0.122505,-0.172652,-0.075783,-0.029085
2734,-0.165422,0.133035,0.040489,-0.075314,-0.276868,-0.066027,-0.225841,-0.157582,-0.215452,-0.145285,-0.203142,-0.268872,-0.192656,-0.127438,-0.142784
2785,-0.06574,0.175746,-0.147388,0.175224,-0.031879,-0.054974,-0.085104,0.043113,-0.122806,-0.088723,-0.103505,-0.041024,-0.074419,-0.029034,-0.06628
